Location ID,Location,Value,1981-2010 Mean,Anomaly (1981-2010 base period)
USW00024013,"Minot, North Dakota",62.2,61.6,0.6
USW00094014,"Williston, North Dakota",61.9,60.3,1.6
USW00014895,"Akron, Ohio",66.8,64.5,2.3
USW00093814,"Cincinnati, Ohio",68.1,67.8,0.3
USW00014820,"Cleveland, Ohio",67,65.9,1.1
USW00014821,"Columbus, Ohio",68.2,67,1.2
USW00094830,"Toledo, Ohio",65.4,64.8,0.6
USW00013967,"Oklahoma City, Oklahoma",72.8,73.1,-0.3
USW00013968,"Tulsa, Oklahoma",74.6,74.4,0.2
USH00350328,"Astoria, Oregon",57.8,57.3,0.5
USW00024221,"Eugene, Oregon",63,60.8,2.2
USW00024225,"Medford, Oregon",68.7,65.9,2.8
USW00024155,"Pendleton, Oregon",64.8,63,1.8
USW00024229,"Portland, Oregon",65.4,63.3,2.1
USW00024232,"Salem, Oregon",64.4,61.9,2.5
USH00360106,"Allentown, Pennsylvania",67.5,65.7,1.8
USW00014860,"Erie, Pennsylvania",65,64.2,0.8
USW00014751,"Harrisburg, Pennsylvania",69.3,68.6,0.7
USW00013739,"Philadelphia, Pennsylvania",71.3,69.8,1.5
USW00094823,"Pittsburgh, Pennsylvania",66.5,64.7,1.8
USW00014777,"Scranton, Pennsylvania",65.8,64.3,1.5
USW00014778,"Williamsport, Pennsylvania",67,65.1,1.9
USW00014765,"Providence, Rhode Island",66.8,64.5,2.3
USW00013880,"Charleston, South Carolina",77.3,76.4,0.9
USW00013883,"Columbia, South Carolina",77.4,76.4,1
USH00383747,"Greenville, South Carolina",73,73.1,-0.1
USH00390020,"Aberdeen, South Dakota",62.1,62,0.1
USW00024025,"Pierre, South Dakota",64.9,64.1,0.8
USW00024090,"Rapid City, South Dakota",62.8,61.8,1
USW00014944,"Sioux Falls, South Dakota",64.5,63.1,1.4
USW00013882,"Chattanooga, Tennessee",73.7,73.3,0.4
USW00003811,"Jackson, Tennessee",72.6,72.3,0.3
