May - October 2017 U.S. & Puerto Rico City Precipitation,,,,
Units: Inches,,,,
Missing: -99,,,,
Location ID,Location,Value,1981-2010 Mean,Anomaly (1981-2010 base period)
USW00013739,"Philadelphia, Pennsylvania",27.13,21.94,5.19
USW00094823,"Pittsburgh, Pennsylvania",22.68,20.97,1.71
USW00014777,"Scranton, Pennsylvania",20.09,22.14,-2.05
USW00014778,"Williamsport, Pennsylvania",31.05,23.34,7.71
USW00014765,"Providence, Rhode Island",25.39,21.91,3.48
USW00013880,"Charleston, South Carolina",37.35,32.18,5.17
USW00013883,"Columbia, South Carolina",25.76,25.09,0.67
USH00383747,"Greenville, South Carolina",29.12,23.72,5.4
USH00390020,"Aberdeen, South Dakota",12.04,16.43,-4.39
USW00024025,"Pierre, South Dakota",10.08,14.66,-4.58
USW00024090,"Rapid City, South Dakota",7.78,11.78,-4
USW00014944,"Sioux Falls, South Dakota",19.98,18.4,1.58
USW00013882,"Chattanooga, Tennessee",30.51,23.87,6.64
USW00003811,"Jackson, Tennessee",21.89,24.98,-3.09
USW00013877,"Johnson City, Tennessee",25.84,20.96,4.88
USW00013891,"Knoxville, Tennessee",26.04,22.43,3.61
USW00013893,"Memphis, Tennessee",27.7,23.42,4.28
USW00013897,"Nashville, Tennessee",27.58,22.9,4.68
USW00013962,"Abilene, Texas",13.87,16.43,-2.56
USW00023047,"Amarillo, Texas",19.48,14.77,4.71
USW00013958,"Austin, Texas",20.37,19.84,0.53
USW00012919,"Brownsville, Texas",16.93,19.26,-2.33
USH00412015,"Corpus Christi, Texas",16.26,20.76,-4.5
USW00013960,"Dallas, Texas",19.52,20.62,-1.1
USW00022010,"Del Rio, Texas",15.54,13.5,2.04
USH00412797,"El Paso, Texas",7.79,7.09,0.7
USW00012918,"Houston, Texas",56.15,32.31,23.84
USW00023042,"Lubbock, Texas",17.02,13.58,3.44
USW00023023,"Midland, Texas",12.15,10.79,1.36
USH00417945,"San Antonio, Texas",11.45,20.12,-8.67
USW00013966,"Wichita Falls, Texas",18.77,17.94,0.83
USW00093129,"Cedar City, Utah",4.45,5.26,-0.81
USW00024127,"Salt Lake City, Utah",3.67,6.97,-3.3
USH00431081,"Burlington, Vermont",24.3,22.45,1.85
USW00094705,"Montpelier, Vermont",29.25,21.75,7.5
USH00446139,"Norfolk, Virginia",32.36,26.42,5.94
USW00013740,"Richmond, Virginia",24.54,24,0.54
USW00013741,"Roanoke, Virginia",23.6,22.28,1.32
USW00024227,"Olympia, Washington",12.39,11.96,0.43
USW00024233,"Seattle, Washington",9.23,10.02,-0.79
USH00457938,"Spokane, Washington",4.64,5.96,-1.32
USW00024243,"Yakima, Washington",1.92,2.57,-0.65
USW00003872,"Beckley, West Virginia",25.97,22.72,3.25
USW00013866,"Charleston, West Virginia",28.35,23.69,4.66
USW00013729,"Elkins, West Virginia",24.87,25.19,-0.32
USW00003860,"Huntington, West Virginia",28.22,22.46,5.76
USW00014898,"Green Bay, Wisconsin",19.52,19.17,0.35
USW00014920,"La Crosse, Wisconsin",28.25,22.35,5.9
USW00014837,"Madison, Wisconsin",24.05,22.08,1.97
USW00014839,"Milwaukee, Wisconsin",18.31,20.78,-2.47
USW00014897,"Wausau, Wisconsin",23,22.68,0.32
USW00024089,"Casper, Wyoming",7.07,8.08,-1.01
USH00481675,"Cheyenne, Wyoming",9.43,11.23,-1.8
USW00024021,"Lander, Wyoming",-99,-99,-99
USW00024029,"Sheridan, Wyoming",6.41,9.17,-2.76
USW00093738,"Washington (Dulles), Washington, D.C.",27.31,22.89,4.42
USW00013743,"Washington (Reagan National), Washington, D.C.",23.87,21.55,2.32
RQW00011641,"San Juan, Puerto Rico",45.22,32.05,13.17
